Date,Adj_Close,Close,High,Low,Open,Volume,SMA_7,EMA_7,Price_vs_SMA_7,SMA_21,EMA_21,Price_vs_SMA_21,SMA_50,EMA_50,Price_vs_SMA_50,Rolling_Mean_7,Rolling_Std_7,Rolling_Min_7,Rolling_Max_7,Rolling_Range_7,Rolling_Mean_21,Rolling_Std_21,Rolling_Min_21,Rolling_Max_21,Rolling_Range_21,Rolling_Mean_50,Rolling_Std_50,Rolling_Min_50,Rolling_Max_50,Rolling_Range_50,BB_Upper_20,BB_Lower_20,BB_Width_20,BB_Position_20,Daily_Return,Log_Return,Cumulative_Return,Volatility_21,High_Low_Range,Close_Open_Change,RSI_14,MACD,MACD_Signal,MACD_Histogram
2020-01-02,72.40050506591797,75.0875015258789,75.1500015258789,73.79750061035156,74.05999755859375,135480400,75.0875015258789,75.0875015258789,0.0,75.0875015258789,75.0875015258789,0.0,75.0875015258789,75.0875015258789,0.0,75.0875015258789,0.0,75.0875015258789,75.0875015258789,0.0,75.0875015258789,0.0,75.0875015258789,75.0875015258789,0.0,75.0875015258789,0.0,75.0875015258789,75.0875015258789,0.0,75.0875015258789,75.0875015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.01801233078798346,0.013873940064232787,50.0,0.0,0.0,0.0
2020-01-03,71.69664764404297,74.35749816894531,75.1449966430664,74.125,74.2874984741211,146322800,74.72249984741211,74.90500068664551,-0.4884762678070895,74.72249984741211,75.02113758433948,-0.4884762678070895,74.72249984741211,75.05887394325406,-0.4884762678070895,74.72249984741211,0.5161903239766878,74.35749816894531,75.0875015258789,0.7300033569335938,74.72249984741211,0.5161903239766878,74.35749816894531,75.0875015258789,0.7300033569335938,74.72249984741211,0.5161903239766878,74.35749816894531,75.0875015258789,0.7300033569335938,75.75488049536548,73.69011919945874,2.0647612959067487,0.3232233047033629,-0.00972203551987938,-0.00976960306049766,-0.00972203551987938,0.006908152573578744,0.013717468556417865,0.0009422809525428286,50.0,-0.058233886023188575,-0.011646777204637715,-0.04658710881855086
2020-01-06,72.26792907714844,74.94999694824219,74.98999786376953,73.1875,73.44750213623047,118387200,74.79833221435547,74.91624975204468,0.20276486038763694,74.79833221435547,75.01467025378517,0.20276486038763694,74.79833221435547,75.05460425717517,0.20276486038763694,74.79833221435547,0.3879147701651432,74.35749816894531,75.0875015258789,0.7300033569335938,74.79833221435547,0.3879147701651432,74.35749816894531,75.0875015258789,0.7300033569335938,74.79833221435547,0.3879147701651432,74.35749816894531,75.0875015258789,0.7300033569335938,75.57416175468576,74.02250267402518,1.5516590806605848,0.5977435931494377,0.007968245219206693,0.00793666639423103,-0.0018312578637249555,0.008868932624771895,0.02404933872131139,0.02045671763247837,50.0,-0.05593023158435528,-0.02050346808058123,-0.03542676350377405
2020-01-07,71.92805480957031,74.59750366210938,75.2249984741211,74.37000274658203,74.95999908447266,108872000,74.74812507629395,74.83656322956085,-0.20150527391935782,74.74812507629395,74.97674601817828,-0.20150527391935782,74.74812507629395,75.0366787436432,-0.20150527391935782,74.74812507629395,0.3322673714407812,74.35749816894531,75.0875015258789,0.7300033569335938,74.74812507629395,0.3322673714407812,74.35749816894531,75.0875015258789,0.7300033569335938,74.74812507629395,0.3322673714407812,74.35749816894531,75.0875015258789,0.7300033569335938,75.4126598191755,74.08359033341239,1.3290694857631138,0.38667152786365583,-0.0047030460371630944,-0.004714140155944748,-0.006525691410849022,0.007526461787008728,0.011461452268051486,-0.004835851477996738,50.0,-0.081607115102031,-0.03272419748487119,-0.048882917617159814
2020-01-08,73.08511352539062,75.79750061035156,76.11000061035156,74.29000091552734,74.29000091552734,132079200,74.95800018310547,75.07679757475853,1.1199610784644518,74.95800018310547,75.05136007201222,1.1199610784644518,74.95800018310547,75.06651489527881,1.1199610784644518,74.95800018310547,0.5504897881785514,74.35749816894531,75.79750061035156,1.44000244140625,74.95800018310547,0.5504897881785514,74.35749816894531,75.79750061035156,1.44000244140625,74.95800018310547,0.5504897881785514,74.35749816894531,75.79750061035156,1.44000244140625,76.05897975946257,73.85702060674836,2.2019591527142097,0.8812515896179531,0.016086288271489613,0.015958274951065204,0.00945562270743494,0.010217770600681186,0.024011341801099755,0.02029209417480484,50.0,-0.005068083638136045,-0.027192974715524162,0.022124891077388117
2020-01-09,74.63749694824219,77.40750122070312,77.60749816894531,76.55000305175781,76.80999755859375,170108400,75.3662503560384,75.65947348624468,2.7084415836287805,75.3662503560384,75.26555472189321,2.7084415836287805,75.3662503560384,75.15831828058957,2.7084415836287805,75.3662503560384,1.1146481183358994,74.35749816894531,77.40750122070312,3.0500030517578125,75.3662503560384,1.1146481183358994,74.35749816894531,77.40750122070312,3.0500030517578125,75.3662503560384,1.1146481183358994,74.35749816894531,77.40750122070312,3.0500030517578125,77.5955465927102,73.1369541193666,4.4585924733436,0.9578240502734123,0.021240813976545425,0.021018372269413728,0.03089728180694129,0.012023069391702718,0.013661403617362426,0.007778982959263541,50.0,0.18338924706546322,0.014923469640673318,0.1684657774247899
2020-01-10,74.80623626708984,77.5824966430664,78.1675033569336,77.0625,77.6500015258789,140644800,75.68285696847099,76.14022927545011,2.509999953340554,75.68285696847099,75.47618580563622,2.509999953340554,75.68285696847099,75.25338409872592,2.509999953340554,75.68285696847099,1.3179701257402114,74.35749816894531,77.5824966430664,3.2249984741210938,75.68285696847099,1.3179701257402114,74.35749816894531,77.5824966430664,3.2249984741210938,75.68285696847099,1.3179701257402114,74.35749816894531,77.5824966430664,3.2249984741210938,78.3187972199514,73.04691671699057,5.27188050296084,0.8603343576411733,0.0022607036734636488,0.0022581521277163447,0.03322783507888594,0.01102690398518236,0.01424294660195559,-0.0008693481195876374,50.0,0.34291084473328226,0.08052094465919511,0.26238990007408713
2020-01-13,76.4044189453125,79.23999786376953,79.26750183105469,77.7874984741211,77.91000366210938,121532000,76.27607073102679,76.91517142252997,3.8857889562697463,76.1274995803833,75.8183505381938,4.088533447889921,76.1274995803833,75.40972189343351,4.088533447889921,76.27607073102679,1.8374691282415345,74.35749816894531,79.23999786376953,4.882499694824219,76.1274995803833,1.7522991608757823,74.35749816894531,79.23999786376953,4.882499694824219,76.1274995803833,1.7522991608757823,74.35749816894531,79.23999786376953,4.882499694824219,79.63209790213486,72.62290125863174,7.009196643503117,0.9440592041701714,0.02136437073337283,0.021139351847751234,0.055302097599551514,0.011752809103193944,0.01867747850622151,0.017070904109159776,50.0,0.5962066571532318,0.18365808715800247,0.4125485699952294
2020-01-14,75.3727035522461,78.16999816894531,79.39250183105469,78.0425033569336,79.17500305175781,161954400,76.82071358816964,77.2288781091338,1.7564072471509338,76.3544438680013,76.03213668644393,2.3777978189228612,76.3544438680013,75.51796802188497,2.3777978189228612,76.82071358816964,1.7362481751713965,74.59750366210938,79.23999786376953,4.642494201660156,76.3544438680013,1.774899065495616,74.35749816894531,79.23999786376953,4.882499694824219,76.3544438680013,1.774899065495616,74.35749816894531,79.23999786376953,4.882499694824219,79.90424199899253,72.80464573701006,7.0995962619824695,0.755726415129562,-0.013503277683875936,-0.013595276063127494,0.041052060335287965,0.012913443811798285,0.01727003333431584,-0.012693461876540935,50.0,0.7025073133691819,0.28742793240023834,0.4150793809689436
2020-01-15,75.04969024658203,77.83499908447266,78.875,77.38749694824219,77.9625015258789,121923600,77.23285675048828,77.38040835296852,0.7796452951749298,76.50249938964843,76.1960332680829,1.741772759655121,76.50249938964843,75.6088319851237,1.741772759655121,77.23285675048828,1.5506722613167536,74.59750366210938,79.23999786376953,4.642494201660156,76.50249938964843,1.7376540032691659,74.35749816894531,79.23999786376953,4.882499694824219,76.50249938964843,1.7376540032691659,74.35749816894531,79.23999786376953,4.882499694824219,79.97780739618676,73.02719138311011,6.9506160130766546,0.691709582620778,-0.004285519922216707,-0.0042947290828305364,0.036590610990656414,0.012486427428419291,0.019110979241400868,-0.00163543291852849,50.0,0.7510619482429064,0.380154735568772,0.3709072126741344
